1;0;5;6;21;5;1;0;0;0;0
0;1;0;5;13;6;0;0;0;0;0
0;1;0;5;21;6;0;0;0;0;0
0;1;0;6;12;5;44;0;0;0;0
1;1;5;6;15;44;1;0;0;0;0
2;2;2;44;109;1;0;0;0;0;0
4;2;0;1;1;1;1;1;1;1;1
0;3;0;5;62;13;6;0;0;0;0
0;3;0;6;21;5;109;5;21;6;0
0;3;0;6;10;15;88;108;1;0;0
0;3;0;5;15;88;108;0;0;0;0
5;3;0;1;1;1;1;1;1;1;1
0;4;0;5;15;37;0;0;0;0;0
0;4;0;5;15;58;0;0;0;0;0
0;4;0;58;15;61;44;0;0;0;0
0;4;0;61;44;61;44;61;44;109;44
0;4;0;61;44;112;109;0;0;0;0
5;4;0;1;1;1;1;1;1;1;1
0;4;0;61;44;113;109;0;0;0;0
5;4;0;1;1;1;1;1;1;1;1
0;4;0;61;44;114;109;0;0;0;0
5;4;0;1;1;1;1;1;1;1;1
1;4;5;37;6;109;66;1;0;0;0
